"Budget:","Budget:"
"Used so Far:","Used so Far:"
"of","of"
"Remaining:","Remaining:"
"Credit Limits","Credit Limits"
"You have no Credit limits.","You have no Credit limits."
"Edit Rule","Edit Rule"
"Create Rule","Create Rule"
"Active","Active"
"Inactive","Inactive"
"Edit Credit Limit","Edit Credit Limit"
"Limits","Limits"
"This no longer exists.","This no longer exists."
"Rule %s Successfully Saved","Rule %s Successfully Saved"
"Record Successfully Deleted","Record Successfully Deleted"
"Credit Limits Rules","Credit Limits Rules"
"ID","ID"
"Credit rule",""Credit rule"
"Amount","Amount"
"Start Date","Start Date"
"End Date","End Date"
"Status","Status"
